location_id,grid_reference,altitude,slope,discharge_category,dist_from_source,chemistry_site,boulders_cobbles,pebbles_gravel,sand,silt_clay,mean_depth,river_width,total,alkalinity,alk_samples,predictor_source,date,original_grid_reference
478876,NY 03521 85737,NA,NA,NA,NA,478876,40,58,1,1,45,20,100,NA,NA,sampling_point,2019-01-09,NY 03521 85737
478876,NY 03503 85752,NA,NA,NA,NA,478876,40,58,1,1,45,20,100,NA,NA,sampling_point,2024-10-05,NY 03503 85752
478877,NY 03577 85643,NA,NA,NA,NA,478877,50,48,1,1,16,20,100,NA,NA,sampling_point,2019-01-09,NY 03577 85643
478877,NY 03521 85737,NA,NA,NA,NA,478877,50,48,1,1,16,20,100,NA,NA,sampling_point,2024-10-05,NY 03521 85737
478878,NY 03555 85698,NA,NA,NA,NA,478878,30,68,1,1,16,20,100,NA,NA,sampling_point,2019-01-09,NY 03555 85698
478878,NY 03577 85643,NA,NA,NA,NA,478878,30,68,1,1,16,20,100,NA,NA,sampling_point,2024-10-05,NY 03577 85643
478879,NY 05484 85246,NA,NA,NA,NA,478879,28,70,1,1,43,16,100,NA,NA,sampling_point,2019-01-09,NY 05484 85246
478879,NY 03555 85698,NA,NA,NA,NA,478879,28,70,1,1,43,16,100,NA,NA,sampling_point,2024-10-05,NY 03555 85698
478884,NS 32506 44238,NA,NA,NA,NA,478884,32,60,2,6,24,12,100,NA,NA,sampling_point,2019-01-09,NS 32506 44238
478884,NY 05484 85246,NA,NA,NA,NA,478884,32,60,2,6,24,12,100,NA,NA,sampling_point,2024-10-05,NY 05484 85246
478973,NS 32354 44157,NA,NA,NA,NA,478973,30,50,15,5,21,1,100,NA,NA,sampling_point,2019-01-09,NS 32354 44157
478973,NS 32506 44238,NA,NA,NA,NA,478973,30,50,15,5,21,1,100,NA,NA,sampling_point,2024-10-05,NS 32506 44238
478974,NS 32688 44472,NA,NA,NA,NA,478974,30,50,15,5,15,1.4,100,NA,NA,sampling_point,2019-01-09,NS 32688 44472
478974,NS 32354 44157,NA,NA,NA,NA,478974,30,50,15,5,15,1.4,100,NA,NA,sampling_point,2024-10-05,NS 32354 44157
478975,NS 55129 88020,NA,NA,NA,NA,478975,30,55,10,5,10,2.4,100,NA,NA,sampling_point,2019-01-09,NS 55129 88020
478975,NS 32688 44472,NA,NA,NA,NA,478975,30,55,10,5,10,2.4,100,NA,NA,sampling_point,2024-10-05,NS 32688 44472
479333,NS 55109 88043,NA,NA,NA,NA,479333,25,50,12.5,12.5,6.5,0.875,100,30.2,1,sampling_point,2019-01-09,NS 55109 88043
479333,NS 55129 88020,NA,NA,NA,NA,479333,25,50,12.5,12.5,6.5,0.875,100,30.2,1,sampling_point,2024-10-05,NS 55129 88020
479335,NJ 88960 13997,NA,NA,NA,NA,479335,26,22.5,9,42.5,10,0.975,100,66.4,1,sampling_point,2019-01-09,NJ 88960 13997
479335,NS 55109 88043,NA,NA,NA,NA,479335,26,22.5,9,42.5,10,0.975,100,66.4,1,sampling_point,2024-10-05,NS 55109 88043
479344,NG 79527 78151,NA,NA,NA,NA,479344,58.33333333,34.66666667,7,0,36.33333333,31.66666667,100,NA,NA,sampling_point,2019-01-09,NG 79527 78151
479344,NJ 88960 13997,NA,NA,NA,NA,479344,58.33333333,34.66666667,7,0,36.33333333,31.66666667,100,NA,NA,sampling_point,2024-10-05,NJ 88960 13997
479427,NG 79514 77571,NA,NA,NA,NA,479427,100,0,0,0,29,2.5,100,NA,NA,sampling_point,2019-01-09,NG 79514 77571
479427,NG 79527 78151,NA,NA,NA,NA,479427,100,0,0,0,29,2.5,100,NA,NA,sampling_point,2024-10-05,NG 79527 78151
479428,NT 17883 94132,NA,NA,NA,NA,479428,90,7.5,2.5,0,28.5,6.25,100,NA,NA,sampling_point,2019-01-09,NT 17883 94132
479428,NG 79514 77571,NA,NA,NA,NA,479428,90,7.5,2.5,0,28.5,6.25,100,NA,NA,sampling_point,2024-10-05,NG 79514 77571
479446,NS 75319 58367,NA,NA,NA,NA,479446,0,5,5,90,25,2,100,NA,NA,sampling_point,2019-01-09,NS 75319 58367
479446,NT 17883 94132,NA,NA,NA,NA,479446,0,5,5,90,25,2,100,NA,NA,sampling_point,2024-10-05,NT 17883 94132
479746,NS 53398 18978,NA,NA,NA,NA,479746,40,55,5,0,24,11.2,100,186.7521739,23,sampling_point,2019-01-09,NS 53398 18978
479746,NS 75319 58367,NA,NA,NA,NA,479746,40,55,5,0,24,11.2,100,186.7521739,23,sampling_point,2024-10-05,NS 75319 58367
479746,NS 75319 58367,48,3.77,4,27.14,479746,40,55,5,0,24,11.2,100,186.7521739,23,rict_layer,2024-06-10,NS 75319 58367
479844,NH 62724 51370,NA,NA,NA,NA,479844,70,20,0,10,12,3.7,100,NA,NA,sampling_point,2019-01-09,NH 62724 51370
479844,NS 53398 18978,NA,NA,NA,NA,479844,70,20,0,10,12,3.7,100,NA,NA,sampling_point,2024-10-05,NS 53398 18978
479847,NH 62515 51227,NA,NA,NA,NA,479847,15,25,20,40,24,1,100,NA,NA,sampling_point,2019-01-09,NH 62515 51227
479847,NH 62724 51370,NA,NA,NA,NA,479847,15,25,20,40,24,1,100,NA,NA,sampling_point,2024-10-05,NH 62724 51370
479848,NH 62222 51006,NA,NA,NA,NA,479848,15,30,30,25,16,1.5,100,NA,NA,sampling_point,2019-01-09,NH 62222 51006
479848,NH 62515 51227,NA,NA,NA,NA,479848,15,30,30,25,16,1.5,100,NA,NA,sampling_point,2024-10-05,NH 62515 51227
479849,NH 62382 51174,NA,NA,NA,NA,479849,15,25,50,10,11,0.8,100,NA,NA,sampling_point,2019-01-09,NH 62382 51174
479849,NH 62222 51006,NA,NA,NA,NA,479849,15,25,50,10,11,0.8,100,NA,NA,sampling_point,2024-10-05,NH 62222 51006
479850,NG 40943 31347,NA,NA,NA,NA,479850,0,0,10,90,15,1.1,100,NA,NA,sampling_point,2019-01-09,NG 40943 31347
479850,NH 62382 51174,NA,NA,NA,NA,479850,0,0,10,90,15,1.1,100,NA,NA,sampling_point,2024-10-05,NH 62382 51174
